method,score,message_bytes_per_flow,n,known_f1_mean,known_f1_std,auroc_mean,auroc_std,auroc_min,recall_mean,recall_std,recall_min,fpr_mean,fpr_max,latency_us_mean,model_size_bytes_mean
Central-RF-full,EVT-tail,352,40,0.9987530675227303,0.0003177595486322394,0.7885822766830042,0.2490125052122382,0.201291474337396,0.39791361496523275,0.3915585232491995,0.0,0.05026200414381511,0.0513781107840513,0.3390935115013093,
Central-RF-full,entropy,352,40,0.9987530675227303,0.0003177595486322394,0.8872910798109954,0.19126647188723758,0.2568669457293006,0.7986230840054505,0.32046185209393246,0.0785104753569279,0.03478171798943002,0.0568584799947267,0.3390935115013093,3747637.8
Class+anomaly-12B,composite,12,40,0.998735923056263,0.0003084909246328669,0.9006583618967211,0.17404884690654557,0.4547140285665402,0.7116591515298514,0.3920213969738637,0.0,0.04747137300318239,0.0506529525720895,0.206584737105569,
Class+proxy-18B,composite,18,40,0.9987693370593203,0.0002898281525710828,0.8980343339385095,0.19904088868375977,0.3008827647977058,0.7003734418689668,0.4122548152409078,0.0,0.04168024513889764,0.0502682889437081,0.9167329141546041,
Distributed-logit-average,entropy+anomaly,36,40,0.07532941514987554,0.008386129994900671,0.8505265525854477,0.19336384602813714,0.3651315423937475,0.5103825647124655,0.3982360643019997,0.0,0.049860852040644,0.0506996029317739,0.3554711946303014,
X-MAG-COS-16Q,composite,16,40,0.998748383069721,0.0002944344010719288,0.9022363277072418,0.17627662030093355,0.4401610099360183,0.7238416067387493,0.3714196063957908,0.0,0.04972822132304083,0.051040403618068,0.9587312955545897,
X-MAG-COS-20B,composite,20,40,0.9987486314863407,0.0002940497739126847,0.9022296436458734,0.17628123233436602,0.4401279424319659,0.7238179868962343,0.371460855234934,0.0,0.04974158752185161,0.0510627029588437,0.9327989554590929,
X-MAG-COS-24B,composite,24,40,0.9987486314863407,0.0002940497739126847,0.9022296436458734,0.17628123233436602,0.4401279424319659,0.7238179868962343,0.371460855234934,0.0,0.04974158752185161,0.0510627029588437,0.9291027082104323,10930906.0
X-MAG-COS-24B,local_anomaly,24,40,0.9987486314863407,0.0002940497739126847,0.8296442226501378,0.11797223495959194,0.5524118368721193,0.026982568962224035,0.10323338648194458,0.0,0.01765941944356763,0.051328646851209,0.9291027082104323,
X-MAG-COS-24B,message_residual,24,40,0.9987486314863407,0.0002940497739126847,0.7710903684261792,0.20274037641343634,0.3099106539535484,0.0,0.0,0.0,0.0,0.0,0.9291027082104323,
X-MAG-COS-24B,owner_or_coordinator_uncertainty,24,40,0.9987486314863407,0.0002940497739126847,0.9050454181769991,0.18322605874126188,0.383817693350973,0.7042048094140575,0.3963234450587243,0.0,0.049794261797186504,0.0508250389998461,0.9291027082104323,
X-MAG-COS-24B,uncertainty_anomaly,24,40,0.9987486314863407,0.0002940497739126847,0.9014102561392955,0.16995866474194143,0.4563292723050614,0.705622239894029,0.361675149274575,0.0,0.04971072401822645,0.0508458285274894,0.9291027082104323,
X-MAG-COS-30B,composite,30,40,0.9987635259695328,0.00029458146502861976,0.8991420812271963,0.17169803990612006,0.4477466636806541,0.6882942066571932,0.410632532084043,0.0,0.049549360537112785,0.0505078691818283,0.9351466539445434,
