comparison,metric,n_pairs,xmag_mean,baseline_mean,mean_difference,bootstrap_ci_low,bootstrap_ci_high,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,rank_biserial,wilcoxon_p_holm,paired_t_p_holm
X-MAG-COS-24B vs X-MAG-DH-24B,known_macro_f1,40,0.9987486314863407,0.9987486314863407,0.0,0.0,0.0,,,0.0,,0.0,1.0,1.0
X-MAG-COS-24B vs X-MAG-DH-24B,unknown_auroc,40,0.9022296436458734,0.9050454181769991,-0.0028157745311257034,-0.008178455934681991,0.0034161395133359518,-0.938345984990551,0.35384187670595024,224.0,0.011536851214259514,-0.45365853658536587,0.1615159169996332,1.0
X-MAG-COS-24B vs X-MAG-DH-24B,unknown_recall_conformal05,40,0.7238179868962343,0.7042048094140575,0.019613177482176936,-0.002563431233922987,0.04087555790854385,1.7550869931014978,0.08709788351504347,42.0,0.018674874007415906,0.6,0.22409848808899085,0.8567677574307931
X-MAG-COS-24B vs X-MAG-DH-24B,tpr_at_test_fpr05,40,0.7239697166722376,0.7043721670102826,0.019597549661954945,-0.0025246564820251127,0.04067900261250144,1.7633426684569387,0.08567677574307932,40.0,0.015240061183200117,0.6190476190476191,0.19812079538160152,0.8567677574307931
X-MAG-COS-24B vs Distributed-logit-average,known_macro_f1,40,0.9987486314863407,0.07532941514987554,0.9234192163364654,0.9206777804628229,0.9257855286656441,691.6928669363291,2.355547738404666e-81,0.0,1.8189894035458565e-12,1.0,3.637978807091713e-11,4.711095476809332e-80
X-MAG-COS-24B vs Distributed-logit-average,unknown_auroc,40,0.9022296436458734,0.8505265525854477,0.05170309106042571,0.030541817752484025,0.07358124709236147,4.688218645138483,3.332170556545354e-05,118.0,3.295479837106541e-05,0.7121951219512195,0.0005602315723081119,0.0005997907001781637
X-MAG-COS-24B vs Distributed-logit-average,unknown_recall_conformal05,40,0.7238179868962343,0.5103825647124655,0.21343542218376893,0.08344521268212404,0.3420902773064397,3.203945839190073,0.0027014922005298794,122.0,0.0009166564635740472,0.6336336336336337,0.014666503417184755,0.04322387520847807
X-MAG-COS-24B vs Distributed-logit-average,tpr_at_test_fpr05,40,0.7239697166722376,0.5111732901473026,0.21279642652493508,0.08322499304077878,0.3416299880882353,3.199353867665258,0.002735707975348981,123.0,0.0009695364137274769,0.6306306306306306,0.014666503417184755,0.04322387520847807
X-MAG-COS-24B vs Central-RF-full,known_macro_f1,40,0.9987486314863407,0.9987530675227305,-4.436036389571241e-06,-5.093327255072181e-05,3.786383797823607e-05,-0.19244580058657068,0.8483916397535287,392.0,0.8160389817658142,0.04390243902439024,1.0,1.0
X-MAG-COS-24B vs Central-RF-full,unknown_auroc,40,0.9022296436458734,0.8872910798109954,0.014938563834878094,-0.041334350832856664,0.07574262530623777,0.49399777008212026,0.6240787035466271,354.0,0.45981367328386114,-0.13658536585365855,1.0,1.0
X-MAG-COS-24B vs Central-RF-full,unknown_recall_conformal05,40,0.7238179868962343,0.7986230840054505,-0.0748050971092161,-0.14987853486336444,-0.005752750004257017,-2.029819896682945,0.04923654742067332,202.0,0.2463199589015289,-0.23484848484848486,1.0,0.6893116638894266
X-MAG-COS-24B vs Central-RF-full,tpr_at_test_fpr05,40,0.7239697166722376,0.7986230840054505,-0.07465336733321284,-0.14972836075838897,-0.005644265632122029,-2.0261334081494815,0.04963006111904822,202.0,0.2463199589015289,-0.23484848484848486,1.0,0.6893116638894266
X-MAG-COS-24B vs FedAvg-linear,known_macro_f1,40,0.9987486314863407,0.9013289759951345,0.09741965549120626,0.08013992488941943,0.11419233058326426,10.962574646340014,1.779573510067441e-13,0.0,1.8189894035458565e-12,1.0,3.637978807091713e-11,3.381189669128138e-12
X-MAG-COS-24B vs FedAvg-linear,unknown_auroc,40,0.9022296436458734,0.9003593076541054,0.0018703359917680573,-0.04865440466280989,0.04992379518223641,0.07353397660241869,0.9417570693124062,325.0,0.259140549798758,0.2073170731707317,1.0,1.0
X-MAG-COS-24B vs FedAvg-linear,unknown_recall_conformal05,40,0.7238179868962343,0.6600220872017406,0.06379589969449373,-0.02220666486890618,0.1529128635355334,1.425513220658924,0.16196395751393364,240.0,0.21928344456150684,0.23809523809523808,1.0,1.0
X-MAG-COS-24B vs FedAvg-linear,tpr_at_test_fpr05,40,0.7239697166722376,0.6600996238059619,0.06387009286627576,-0.022095100679886195,0.15295128034788383,1.428854848467226,0.16100692736804398,238.0,0.20723895656080749,0.24444444444444444,1.0,1.0
X-MAG-COS-24B vs Central-ExtraTrees-full,known_macro_f1,40,0.9987486314863407,0.9941409777274437,0.004607653758896979,0.002494176682635418,0.0070564396859635736,3.8801452748677114,0.0003911874269510422,0.0,1.8189894035458565e-12,1.0,3.637978807091713e-11,0.006650186258167718
X-MAG-COS-24B vs Central-ExtraTrees-full,unknown_auroc,40,0.9022296436458734,0.8867971698327975,0.01543247381307591,-0.01643494252320499,0.04768035418693857,0.9400636612777826,0.352971257425281,391.0,0.8057269839482615,0.046341463414634146,1.0,1.0
X-MAG-COS-24B vs Central-ExtraTrees-full,unknown_recall_conformal05,40,0.7238179868962343,0.618156967508001,0.10566101938823344,-0.0006619615144056879,0.21957705218628484,1.8589380402828057,0.07059363317699276,245.0,0.25157178293258164,0.2222222222222222,1.0,0.843188023354351
X-MAG-COS-24B vs Central-ExtraTrees-full,tpr_at_test_fpr05,40,0.7239697166722376,0.61825190066425,0.10571781600798773,-0.0005122823772962615,0.21951052340005453,1.8612024215735177,0.07026566861286258,245.0,0.25157178293258164,0.2222222222222222,1.0,0.843188023354351
