OriginalLabel,XMagCategory,available_rows,sampled_rows
Backdoor_Malware,Web,3218,3218
Benign_Final,Benign,1098191,10000
BrowserHijacking,Web,5859,5859
CommandInjection,Web,5409,5409
DDoS-ACK_Fragmentation,DDoS,285075,10000
DDoS-HTTP_Flood,DDoS,28790,10000
DDoS-ICMP_Flood,DDoS,7200501,10000
DDoS-ICMP_Fragmentation,DDoS,452490,10000
DDoS-PSHACK_FLOOD,DDoS,4094772,9993
DDoS-RSTFINFLOOD,DDoS,4045279,9993
DDoS-SYN_Flood,DDoS,4059179,9991
DDoS-SlowLoris,DDoS,23426,10000
DDoS-SynonymousIP_Flood,DDoS,3598133,10000
DDoS-TCP_Flood,DDoS,4497649,9990
DDoS-UDP_Flood,DDoS,5412231,10000
DDoS-UDP_Fragmentation,DDoS,286925,10000
DNS_Spoofing,Spoofing,178898,10000
DictionaryBruteForce,BruteForce,13064,10000
DoS-HTTP_Flood,DoS,71861,10000
DoS-SYN_Flood,DoS,2028836,10000
DoS-TCP_Flood,DoS,2671430,9993
DoS-UDP_Flood,DoS,3072993,9989
MITM-ArpSpoofing,Spoofing,307560,9999
Mirai-greeth_flood,Mirai,991834,9999
Mirai-greip_flood,Mirai,751646,10000
Mirai-udpplain,Mirai,890574,10000
Recon-HostDiscovery,Recon,134378,10000
Recon-OSScan,Recon,98259,10000
Recon-PingSweep,Recon,2262,2262
Recon-PortScan,Recon,82284,10000
SqlInjection,Web,5245,5245
Uploading_Attack,Web,1252,1252
VulnerabilityScan,Recon,373351,9999
XSS,Web,3846,3846
