method,score,message_bytes_per_flow,n,known_f1_mean,known_f1_std,auroc_mean,auroc_std,auroc_min,recall_mean,recall_std,recall_min,fpr_mean,fpr_max,latency_us_mean,model_size_bytes_mean
Central-RF-full,EVT-tail,152,7,0.7446512011989271,0.034903828158912215,0.5159092488888789,0.18032978410641137,0.1915147015559129,0.21053167234187722,0.25926437051928475,0.0010004502025911,0.04959300501972564,0.0511559143301976,0.6081144316164789,
Central-RF-full,entropy,152,7,0.7446512011989271,0.034903828158912215,0.7313121100500384,0.22953200954179137,0.3633417506399737,0.2134885974799117,0.21139759282569623,3.333444448148272e-05,0.05035053034758465,0.0523125528084934,0.6081144316164789,71074865.0
Class+anomaly-12B,composite,12,7,0.7225124437186127,0.03468493732711199,0.7032375024921821,0.18267024044701025,0.3418200876637468,0.203438716520542,0.18671268622822818,0.0002501125506477,0.04981743694525106,0.0523003073607386,0.17643674444747434,
Class+proxy-18B,composite,18,7,0.7223283797933518,0.03463402631993615,0.6236157842511686,0.20879952584183198,0.2574410465465972,0.15634610286702375,0.15782662049742752,0.0001250562753238,0.049931312382290476,0.0517247713162631,0.3667532638928977,
Distributed-logit-average,entropy+anomaly,32,7,0.7408796030653242,0.03284521379846728,0.7640141398497906,0.2116012138084384,0.3318714817404181,0.2406130274529125,0.17105661481552104,0.0012005402431093,0.050621617751008784,0.0530962614648004,4.009461806980595,
X-MAG-COS-16Q,composite,16,7,0.7223586519479895,0.03462613243783631,0.7014763350559489,0.1839310638775964,0.3410856764961222,0.20609498196825599,0.18224280813640797,0.0004251913361012,0.05004639549111382,0.0534023976586703,0.3858237184392895,
X-MAG-COS-20B,composite,20,7,0.7223573579471098,0.03462420154157862,0.7014838400536195,0.18393240693101529,0.3410776681722759,0.20609244319473277,0.18223923235914938,0.0004251913361012,0.0500483470887149,0.0533656613154059,0.37750954124957864,
X-MAG-COS-24B,composite,24,7,0.7223573579471098,0.03462420154157862,0.7014838400536195,0.18393240693101529,0.3410776681722759,0.20609244319473277,0.18223923235914938,0.0004251913361012,0.0500483470887149,0.0533656613154059,0.38461965817353017,117765803.71428572
X-MAG-COS-24B,local_anomaly,24,7,0.7223573579471098,0.03462420154157862,0.6741764959299414,0.12398584882864111,0.4032084848726943,0.05257249108128354,0.06571317358531749,0.0,0.029115219460242116,0.0517265972483369,0.38461965817353017,
X-MAG-COS-24B,message_residual,24,7,0.7223573579471098,0.03462420154157862,0.5066100818021598,0.11190774165780301,0.3800742480722779,0.0,0.0,0.0,0.0,0.0,0.38461965817353017,
X-MAG-COS-24B,owner_or_coordinator_uncertainty,24,7,0.7223573579471098,0.03462420154157862,0.6247411898742612,0.22123797620211885,0.2720771760638242,0.16059599614035222,0.1591823881710963,0.0002000900405182,0.0501034389008061,0.0518227348983015,0.38461965817353017,
X-MAG-COS-24B,uncertainty_anomaly,24,7,0.7223573579471098,0.03462420154157862,0.7093821346697434,0.18443916426009732,0.3413450796040655,0.21102569099174628,0.18029536395357226,0.0005252363563603,0.050067299720476285,0.0535003612407087,0.38461965817353017,
X-MAG-COS-30B,composite,30,7,0.7165533230849023,0.0352192471448653,0.6777304277513366,0.1603559256336889,0.3390665008182971,0.1612502370112794,0.10931364040106284,0.0005502476114251,0.05056890085301822,0.0526676707933825,0.3492885173410879,
