seed,held_out_attack,method,channel,unknown_auroc,unknown_recall_conditional,unknown_recall_end_to_end
7,SlowrateDoS,peer_context,ideal,0.8987448393502259,0.1563782068814616,0.1563782068814616
7,SlowrateDoS,owner_entropy_control,ideal,0.9007084189838588,0.1503200043761282,0.1503200043761282
7,SlowrateDoS,peer_context,loss_only_1pct,0.8987844356749962,0.1564918195887685,0.1548739128056452
7,SlowrateDoS,owner_entropy_control,loss_only_1pct,0.9007383227795966,0.1503841476895865,0.148829385701001
7,UDPFlood,peer_context,ideal,0.4703388124216552,0.0036296846984737,0.0036296846984737
7,UDPFlood,owner_entropy_control,ideal,0.4614149824107236,0.0035903266716228,0.0035903266716228
7,UDPFlood,peer_context,loss_only_1pct,0.4704295240548137,0.0036154902887533,0.0035793938863864
7,UDPFlood,owner_entropy_control,loss_only_1pct,0.4614914632407919,0.0035757353558287,0.0035400358595355
21,SlowrateDoS,peer_context,ideal,0.8885992364500003,0.1627372682019583,0.1627372682019583
21,SlowrateDoS,owner_entropy_control,ideal,0.8924578891319889,0.1615201575406159,0.1615201575406159
21,SlowrateDoS,peer_context,loss_only_1pct,0.8885565824807721,0.162626555615409,0.161014167715114
21,SlowrateDoS,owner_entropy_control,loss_only_1pct,0.8924200245893118,0.1613281951408168,0.1597286800503254
21,UDPFlood,peer_context,ideal,0.4275187997328888,0.0,0.0
21,UDPFlood,owner_entropy_control,ideal,0.4290356044502245,0.0,0.0
21,UDPFlood,peer_context,loss_only_1pct,0.4275249796759357,0.0,0.0
21,UDPFlood,owner_entropy_control,loss_only_1pct,0.4290363505343483,0.0,0.0
42,SlowrateDoS,peer_context,ideal,0.9068040601274184,0.2545128822274493,0.2545128822274493
42,SlowrateDoS,owner_entropy_control,ideal,0.9098415154890206,0.2409058585416552,0.2409058585416552
42,SlowrateDoS,peer_context,loss_only_1pct,0.9069479438584824,0.2545597744984248,0.2519419068978721
42,SlowrateDoS,owner_entropy_control,loss_only_1pct,0.9099547605960512,0.2410462609849113,0.2385673650237952
42,UDPFlood,peer_context,ideal,0.4827333942344696,0.00001311934228364018,0.00001311934228364018
42,UDPFlood,owner_entropy_control,ideal,0.483777758444526,0.0,0.0
42,UDPFlood,peer_context,loss_only_1pct,0.4828707078962749,0.000013251000450534017,0.00001311934228364018
42,UDPFlood,owner_entropy_control,loss_only_1pct,0.4838869983730357,0.0,0.0
84,SlowrateDoS,peer_context,ideal,0.8817299802469342,0.1605355286909906,0.1605355286909906
84,SlowrateDoS,owner_entropy_control,ideal,0.8877191143000114,0.176330616487063,0.176330616487063
84,SlowrateDoS,peer_context,loss_only_1pct,0.8817489645905023,0.1604670443553958,0.1588124282041463
84,SlowrateDoS,owner_entropy_control,loss_only_1pct,0.88775496387662,0.176302335221777,0.1744844373940156
84,UDPFlood,peer_context,ideal,0.4415232750727171,0.0,0.0
84,UDPFlood,owner_entropy_control,ideal,0.4398559763304577,0.0,0.0
84,UDPFlood,peer_context,loss_only_1pct,0.4415227477534291,0.0,0.0
84,UDPFlood,owner_entropy_control,loss_only_1pct,0.4398653075923434,0.0,0.0
123,SlowrateDoS,peer_context,ideal,0.8761923702048744,0.0992697336031945,0.0992697336031945
123,SlowrateDoS,owner_entropy_control,ideal,0.883408928970876,0.0785925277610634,0.0785925277610634
123,SlowrateDoS,peer_context,loss_only_1pct,0.8760812594202502,0.0995180157162783,0.0985449373666648
123,SlowrateDoS,owner_entropy_control,loss_only_1pct,0.8833133402325881,0.0787885483848692,0.0780181609321153
123,UDPFlood,peer_context,ideal,0.4968830486604975,0.000010932785236366816,0.000010932785236366816
123,UDPFlood,owner_entropy_control,ideal,0.496429541960637,0.0,0.0
123,UDPFlood,peer_context,loss_only_1pct,0.4968348374804093,0.000011041573733421078,0.000010932785236366818
123,UDPFlood,owner_entropy_control,loss_only_1pct,0.4964024453447301,0.0,0.0
