seed,holdout,f1_12,f1_16,auc_12,auc_16,recall_12,recall_16
7,HTTPFlood,0.9991200184062816,0.9991200184062816,0.9892179154794823,0.9887079362597028,0.9552736982643524,0.9550393432377924
7,ICMPFlood,0.99866918271545,0.9986456913311728,0.998942239525521,0.9973017970474208,1.0,1.0
7,SYNFlood,0.998511321615558,0.9984980681298578,0.994964180603804,0.9942739942424604,1.0,1.0
7,SYNScan,0.9987686765474898,0.9987686765474898,0.996484600241298,0.996121708940821,1.0,1.0
7,SlowrateDoS,0.9992213500257816,0.9990540705128316,0.8975898157579398,0.9003252899865066,0.2925988731469832,0.2933099939828237
7,TCPConnectScan,0.9988552797188002,0.9988687926063612,0.8946934159638246,0.92871375084901,0.4342708956712547,0.7076600837821664
7,UDPFlood,0.9988048044292436,0.9988048044292436,0.4836406012693757,0.4767376155160951,0.0035903266716228,0.0035903266716228
7,UDPScan,0.9989707501307088,0.99898155029995,0.8178346536617915,0.8950949162298906,0.2648686030428769,0.5120080472777568
21,HTTPFlood,0.9993706986280548,0.9993706986280548,0.985240387456704,0.9857351846174228,0.909879839786382,0.9137076385535324
21,ICMPFlood,0.9983882737486436,0.9984023587371864,0.999285330174055,0.9992845817888832,1.0,1.0
21,SYNFlood,0.9986684888177716,0.9986525134131308,0.995300100292346,0.993815754028782,1.0,1.0
21,SYNScan,0.9989442573420946,0.9989542043517892,0.9964634330151236,0.9951249010527076,1.0,1.0
21,SlowrateDoS,0.9991997200255196,0.9990297260181562,0.8998178223058508,0.9023218929823512,0.340298670751053,0.3467671352770636
21,TCPConnectScan,0.9986612141276978,0.9986612141276978,0.9632955119472352,0.955701754050876,0.9046977857570316,0.9069419509275882
21,UDPFlood,0.9985285065659466,0.9985285065659466,0.4699928882199609,0.4706209093930587,0.0,0.0
21,UDPScan,0.998873904423882,0.998873904423882,0.9792814938467952,0.9783529628457656,0.9559914497673834,0.9561800578398088
42,HTTPFlood,0.9990729020499164,0.9990702075694388,0.9919037429575904,0.9922830249761678,0.96113967559583,0.9611041672584724
42,ICMPFlood,0.9987519545455296,0.9987519545455296,0.9989784946294038,0.9991414454033238,1.0,1.0
42,SYNFlood,0.9987593172693474,0.9987593172693474,0.9949309684585896,0.9928375800136464,1.0,1.0
42,SYNScan,0.9991763645710708,0.9991763645710708,0.9969483075256298,0.995247090228184,1.0,1.0
42,SlowrateDoS,0.9990108984131194,0.9990082139642568,0.9198839983169208,0.9269690315642958,0.3829522455007931,0.4806629834254143
42,TCPConnectScan,0.9988684487288552,0.9988576313222686,0.866069473188504,0.8827080657017515,0.3815579493317375,0.4775583482944344
42,UDPFlood,0.9986269306003837,0.9986269306003837,0.4809663853344642,0.4770694230858421,0.0,0.0
42,UDPScan,0.9989556422250204,0.9987653790003808,0.9758354565808656,0.9728375232816724,0.9488243430152145,0.9498931220922924
84,HTTPFlood,0.9991041246343076,0.9991041246343076,0.9896418071946452,0.988505584591406,0.9515382211743316,0.9513961878249012
84,ICMPFlood,0.9985339825568786,0.9985475035920122,0.9988446144617168,0.998927517720068,1.0,1.0
84,SYNFlood,0.9980850690574696,0.9980850690574696,0.9959810167166888,0.9938143307384472,1.0,0.996090937146384
84,SYNScan,0.9987886973631108,0.9988301917548844,0.9973274956856724,0.9950203576644508,1.0,1.0
84,SlowrateDoS,0.9990708369888311,0.9990708369888311,0.9010730630941192,0.9038551061646928,0.2540068924019474,0.2996280291012527
84,TCPConnectScan,0.9984321813520578,0.9984321813520578,0.9846018503844558,0.981276538197302,0.994464392579294,0.9942150408936764
84,UDPFlood,0.9984444664668584,0.9984420619922518,0.3988945716023476,0.4694574164308567,0.0,0.0
84,UDPScan,0.9986496146249058,0.9986496146249058,0.9760738382654144,0.974556928239868,0.94524078963913,0.9281403244058846
123,HTTPFlood,0.9993836627837892,0.9993836627837892,0.988904727229713,0.9886627132338875,0.9440743686617618,0.9442661136834928
123,ICMPFlood,0.9985721296295578,0.9985829262852404,0.9988280858406344,0.9985785516539782,1.0,1.0
123,SYNFlood,0.9983127034230228,0.9983127034230228,0.9952329848965932,0.9921956968256788,1.0,1.0
123,SYNScan,0.9988304432993792,0.9988304432993792,0.9975986731869988,0.9967663559666768,1.0,1.0
123,SlowrateDoS,0.9991970086435876,0.9991970086435876,0.8926621571277316,0.8958816028612485,0.2658634647995186,0.2798260489032328
123,TCPConnectScan,0.9986755549882632,0.9986755549882632,0.7916296548116811,0.8444998358523703,0.1265210452822661,0.1844205066826251
123,UDPFlood,0.998426433670375,0.9984399463532008,0.5126913854401817,0.5151626771251132,0.0,0.0
123,UDPScan,0.9989360695006108,0.998938476356793,0.9875249659961364,0.9826725985759064,0.9681881051175656,0.9227335596630204
